DATE,bit_price
12/11/16,771.05
12/12/16,778.94
12/13/16,776.18
12/14/16,777.66
12/15/16,776.16
12/16/16,780.98
12/17/16,788.57
12/18/16,790.72
12/19/16,790.81
12/20/16,798.99
12/21/16,834.5
12/22/16,856.02
12/23/16,917.26
12/24/16,891.5
12/25/16,896.12
12/26/16,902.09
12/27/16,925.2
12/28/16,982.17
12/29/16,970.72
12/30/16,960.81
12/31/16,973.37
1/1/17,992.95
1/2/17,1011.45
1/3/17,1020.67
1/4/17,1130.3
1/5/17,1007.0
1/6/17,895.71
1/7/17,909.0
1/8/17,923.33
1/9/17,902.66
1/10/17,907.0
1/11/17,795.77
1/12/17,812.25
1/13/17,831.42
1/14/17,828.0
1/15/17,833.31
1/16/17,834.41
1/17/17,906.0
1/18/17,887.99
1/19/17,902.92
1/20/17,894.31
1/21/17,925.06
1/22/17,931.22
1/23/17,910.7
1/24/17,887.0
1/25/17,896.0
1/26/17,917.02
1/27/17,922.63
1/28/17,924.98
1/29/17,916.54
1/30/17,923.23
1/31/17,970.01
2/1/17,992.75
2/2/17,1008.38
2/3/17,1018.0
2/4/17,1035.54
2/5/17,1016.32
2/6/17,1022.58
2/7/17,1053.96
2/8/17,1056.7
2/9/17,994.24
2/10/17,1001.99
2/11/17,1018.65
2/12/17,1010.0
2/13/17,1002.82
2/14/17,1013.92
2/15/17,1014.53
2/16/17,1038.94
2/17/17,1057.3
2/18/17,1062.15
2/19/17,1059.88
2/20/17,1089.82
2/21/17,1128.29
2/22/17,1128.71
2/23/17,1186.9
2/24/17,1186.91
2/25/17,1158.0
2/26/17,1184.91
2/27/17,1195.81
2/28/17,1195.08
3/1/17,1230.0
3/2/17,1269.17
3/3/17,1292.86
3/4/17,1273.97
3/5/17,1278.98
3/6/17,1284.99
3/7/17,1237.36
3/8/17,1150.22
3/9/17,1197.3
3/10/17,1109.01
3/11/17,1188.11
3/12/17,1235.58
3/13/17,1245.49
3/14/17,1247.42
3/15/17,1263.0
3/16/17,1175.11
3/17/17,1069.57
3/18/17,970.0
3/19/17,1019.49
3/20/17,1044.96
3/21/17,1114.42
3/22/17,1034.57
3/23/17,1025.14
3/24/17,934.87
3/25/17,963.72
3/26/17,973.08
3/27/17,1042.08
3/28/17,1045.4
3/29/17,1043.27
3/30/17,1042.34
3/31/17,1088.99
4/1/17,1092.0
4/2/17,1113.99
4/3/17,1152.6
4/4/17,1143.99
4/5/17,1132.99
4/6/17,1192.3
4/7/17,1194.0
4/8/17,1184.5
4/9/17,1210.97
